Hour,Price
0,33.76279718348531
1,31.68541914504509
2,29.73776563095268
3,29.21062974431961
4,30.02159081792534
5,33.31610286034561
6,41.50312578668951
7,45.82647749911834
8,41.07811473147262
9,40.10826307874452
10,41.11403266562547
11,41.980978395133256
12,42.88203550556703
13,44.350222588783865
14,45.48113953320731
15,48.16420489955892
16,53.878495582860744
17,61.47134459206049
18,59.17559109287964
19,56.281257334593576
20,51.030909430875866
21,45.08338968141147
22,39.68281856609956
23,35.588802118966605
